,temp,lat,lon,id
Unnamed: 0,21,33.56632475,-86.79439191,10
temp,27.150874999999999,33.56632475,-86.79439191,10
lat,33.56632475,33.56632475,-86.79439191,10
lon,-86.794391910000002,33.56632475,-86.79439191,10
id,10,33.56632475,-86.79439191,10
longitude,-86.7943,33.56632475,-86.79439191,10
Unnamed: 0,23,31.96582461,-87.47792357,11
temp,27.34525,31.96582461,-87.47792357,11
lat,33.56632475,31.96582461,-87.47792357,11
lon,-86.794391910000002,31.96582461,-87.47792357,11
id,10,31.96582461,-87.47792357,11
longitude,-86.7943,31.96582461,-87.47792357,11
Unnamed: 0,26,33.50837408,-86.80856562,13
temp,29.949041666700001,33.50837408,-86.80856562,13
lat,33.56632475,33.50837408,-86.80856562,13
lon,-86.794391910000002,33.50837408,-86.80856562,13
id,10,33.50837408,-86.80856562,13
longitude,-86.7943,33.50837408,-86.80856562,13
Unnamed: 0,27,31.9918251,-87.29091803,14
temp,29.1459166667,31.9918251,-87.29091803,14
lat,33.56632475,31.9918251,-87.29091803,14
lon,-86.794391910000002,31.9918251,-87.29091803,14
id,10,31.9918251,-87.29091803,14
longitude,-86.7943,31.9918251,-87.29091803,14
Unnamed: 0,29,33.49248827,-86.79564341,16
temp,29.332291666700002,33.49248827,-86.79564341,16
lat,33.56632475,33.49248827,-86.79564341,16
lon,-86.794391910000002,33.49248827,-86.79564341,16
id,10,33.49248827,-86.79564341,16
longitude,-86.7943,33.49248827,-86.79564341,16
Unnamed: 0,32,33.55883041,-86.8191733,18
temp,29.611291666700001,33.55883041,-86.8191733,18
lat,33.56632475,33.55883041,-86.8191733,18
lon,-86.794391910000002,33.55883041,-86.8191733,18
id,10,33.55883041,-86.8191733,18
longitude,-86.7943,33.55883041,-86.8191733,18
Unnamed: 0,35,33.52011547,-86.80962317,19
temp,28.170124999999999,33.52011547,-86.80962317,19
lat,33.56632475,33.52011547,-86.80962317,19
lon,-86.794391910000002,33.52011547,-86.80962317,19
id,10,33.52011547,-86.80962317,19
longitude,-86.7943,33.52011547,-86.80962317,19
Unnamed: 0,10,33.51008404,-86.80973051,1
temp,27.096708333300001,33.51008404,-86.80973051,1
lat,33.56632475,33.51008404,-86.80973051,1
lon,-86.794391910000002,33.51008404,-86.80973051,1
id,10,33.51008404,-86.80973051,1
longitude,-86.7943,33.51008404,-86.80973051,1
Unnamed: 0,37,31.96530404,-87.48555554,20
temp,26.129124999999998,31.96530404,-87.48555554,20
lat,33.56632475,31.96530404,-87.48555554,20
lon,-86.794391910000002,31.96530404,-87.48555554,20
id,10,31.96530404,-87.48555554,20
longitude,-86.7943,31.96530404,-87.48555554,20
Unnamed: 0,39,33.48637836,-86.82018627,21
temp,28.701916666700001,33.48637836,-86.82018627,21
lat,33.56632475,33.48637836,-86.82018627,21
lon,-86.794391910000002,33.48637836,-86.82018627,21
id,10,33.48637836,-86.82018627,21
longitude,-86.7943,33.48637836,-86.82018627,21
Unnamed: 0,41,33.52103795,-86.77701044,23
temp,28.997624999999999,33.52103795,-86.77701044,23
lat,33.56632475,33.52103795,-86.77701044,23
lon,-86.794391910000002,33.52103795,-86.77701044,23
id,10,33.52103795,-86.77701044,23
longitude,-86.7943,33.52103795,-86.77701044,23
Unnamed: 0,43,,,25
temp,27.75825,,,25
lat,33.56632475,,,25
lon,-86.794391910000002,,,25
id,10,,,25
longitude,-86.7943,,,25
Unnamed: 0,45,,,26
temp,31.017749999999999,,,26
lat,33.56632475,,,26
lon,-86.794391910000002,,,26
id,10,,,26
longitude,-86.7943,,,26
Unnamed: 0,46,33.51016525,-86.84542073,27
temp,27.960291666700002,33.51016525,-86.84542073,27
lat,33.56632475,33.51016525,-86.84542073,27
lon,-86.794391910000002,33.51016525,-86.84542073,27
id,10,33.51016525,-86.84542073,27
longitude,-86.7943,33.51016525,-86.84542073,27
Unnamed: 0,47,33.54936778,-86.7843688,28
temp,31.867958333299999,33.54936778,-86.7843688,28
lat,33.56632475,33.54936778,-86.7843688,28
lon,-86.794391910000002,33.54936778,-86.7843688,28
id,10,33.54936778,-86.7843688,28
longitude,-86.7943,33.54936778,-86.7843688,28
Unnamed: 0,49,,,29
temp,28.389583333299999,,,29
lat,33.56632475,,,29
lon,-86.794391910000002,,,29
id,10,,,29
longitude,-86.7943,,,29
Unnamed: 0,11,31.96722176,-87.63193427,2
temp,28.062291666700002,31.96722176,-87.63193427,2
lat,33.56632475,31.96722176,-87.63193427,2
lon,-86.794391910000002,31.96722176,-87.63193427,2
id,10,31.96722176,-87.63193427,2
longitude,-86.7943,31.96722176,-87.63193427,2
Unnamed: 0,7,32.11612991,-87.39199336,32
temp,28.048041666700001,32.11612991,-87.39199336,32
lat,33.56632475,32.11612991,-87.39199336,32
lon,-86.794391910000002,32.11612991,-87.39199336,32
id,10,32.11612991,-87.39199336,32
longitude,-86.7943,32.11612991,-87.39199336,32
Unnamed: 0,Date,33.46105312,-86.88760486,35
temp,2015-07-11,33.46105312,-86.88760486,35
lat,31.965824609999999,33.46105312,-86.88760486,35
lon,-87.477923570000002,33.46105312,-86.88760486,35
id,11,33.46105312,-86.88760486,35
longitude,-87.4779,33.46105312,-86.88760486,35
Unnamed: 0,11,33.48584864,-86.81803947,37
temp,28.897916666700002,33.48584864,-86.81803947,37
lat,31.965824609999999,33.48584864,-86.81803947,37
lon,-87.477923570000002,33.48584864,-86.81803947,37
id,11,33.48584864,-86.81803947,37
longitude,-87.4779,33.48584864,-86.81803947,37
Unnamed: 0,14,33.5604949,-86.81728417,39
temp,30.145499999999998,33.5604949,-86.81728417,39
lat,31.965824609999999,33.5604949,-86.81728417,39
lon,-87.477923570000002,33.5604949,-86.81728417,39
id,11,33.5604949,-86.81728417,39
longitude,-87.4779,33.5604949,-86.81728417,39
Unnamed: 0,13,31.96576806,-87.47777599,3
temp,27.8096666667,31.96576806,-87.47777599,3
lat,33.56632475,31.96576806,-87.47777599,3
lon,-86.794391910000002,31.96576806,-87.47777599,3
id,10,31.96576806,-87.47777599,3
longitude,-86.7943,31.96576806,-87.47777599,3
Unnamed: 0,18,31.95675253,-87.47756973,41
temp,28.7664166667,31.95675253,-87.47756973,41
lat,31.965824609999999,31.95675253,-87.47756973,41
lon,-87.477923570000002,31.95675253,-87.47756973,41
id,11,31.95675253,-87.47756973,41
longitude,-87.4779,31.95675253,-87.47756973,41
Unnamed: 0,19,32.02598667,-87.31874946,42
temp,28.134083333299998,32.02598667,-87.31874946,42
lat,31.965824609999999,32.02598667,-87.31874946,42
lon,-87.477923570000002,32.02598667,-87.31874946,42
id,11,32.02598667,-87.31874946,42
longitude,-87.4779,32.02598667,-87.31874946,42
Unnamed: 0,1,33.5485593,-86.78249648,43
temp,29.812874999999998,33.5485593,-86.78249648,43
lat,31.965824609999999,33.5485593,-86.78249648,43
lon,-87.477923570000002,33.5485593,-86.78249648,43
id,11,33.5485593,-86.78249648,43
longitude,-87.4779,33.5485593,-86.78249648,43
Unnamed: 0,21,31.9902095,-87.29016103,45
temp,28.1984583333,31.9902095,-87.29016103,45
lat,31.965824609999999,31.9902095,-87.29016103,45
lon,-87.477923570000002,31.9902095,-87.29016103,45
id,11,31.9902095,-87.29016103,45
longitude,-87.4779,31.9902095,-87.29016103,45
Unnamed: 0,23,33.52410605,-86.77026455,46
temp,28.768208333299999,33.52410605,-86.77026455,46
lat,31.965824609999999,33.52410605,-86.77026455,46
lon,-87.477923570000002,33.52410605,-86.77026455,46
id,11,33.52410605,-86.77026455,46
longitude,-87.4779,33.52410605,-86.77026455,46
Unnamed: 0,25,32.00173405,-87.33470675,47
temp,31.924125,32.00173405,-87.33470675,47
lat,31.965824609999999,32.00173405,-87.33470675,47
lon,-87.477923570000002,32.00173405,-87.33470675,47
id,11,32.00173405,-87.33470675,47
longitude,-87.4779,32.00173405,-87.33470675,47
Unnamed: 0,27,33.51954211,-86.81061529,49
temp,29.754375,33.51954211,-86.81061529,49
lat,31.965824609999999,33.51954211,-86.81061529,49
lon,-87.477923570000002,33.51954211,-86.81061529,49
id,11,33.51954211,-86.81061529,49
longitude,-87.4779,33.51954211,-86.81061529,49
Unnamed: 0,14,33.50253238,-86.80197573,4
temp,29.166875000000001,33.50253238,-86.80197573,4
lat,33.56632475,33.50253238,-86.80197573,4
lon,-86.794391910000002,33.50253238,-86.80197573,4
id,10,33.50253238,-86.80197573,4
longitude,-86.7943,33.50253238,-86.80197573,4
Unnamed: 0,18,,,6
temp,28.0305,,,6
lat,33.56632475,,,6
lon,-86.794391910000002,,,6
id,10,,,6
longitude,-86.7943,,,6
Unnamed: 0,19,31.99123288,-87.28875148,7
temp,26.757583333299998,31.99123288,-87.28875148,7
lat,33.56632475,31.99123288,-87.28875148,7
lon,-86.794391910000002,31.99123288,-87.28875148,7
id,10,31.99123288,-87.28875148,7
longitude,-86.7943,31.99123288,-87.28875148,7
Unnamed: 0,1,33.5094997,-86.80155859,8
